"Date","Price","Open","High","Low","Vol.","Change %"
"04/25/2024","3.220","3.230","3.295","3.190","1.92M","-3.30%"
"04/24/2024","3.330","3.390","3.480","3.300","1.41M","-2.35%"
"04/23/2024","3.410","3.340","3.550","3.325","2.58M","2.71%"
"04/22/2024","3.320","3.290","3.350","3.220","2.57M","2.47%"
"04/19/2024","3.240","3.240","3.350","3.200","2.36M","-0.61%"
"04/18/2024","3.260","3.360","3.460","3.250","4.26M","-2.40%"
"04/17/2024","3.340","3.460","3.540","3.340","2.90M","-3.19%"
"04/16/2024","3.450","3.260","3.460","3.230","3.58M","5.18%"
"04/15/2024","3.280","3.620","3.640","3.180","4.02M","-9.14%"
"04/12/2024","3.610","3.650","3.710","3.530","4.87M","-1.90%"
"04/11/2024","3.680","3.620","3.690","3.520","5.09M","2.22%"
"04/10/2024","3.600","3.660","3.730","3.550","5.87M","-6.74%"
"04/09/2024","3.860","3.950","3.980","3.750","3.28M","-1.03%"
"04/08/2024","3.900","3.880","3.970","3.730","3.34M","2.36%"
"04/05/2024","3.810","3.760","3.850","3.690","3.05M","0.53%"
"04/04/2024","3.790","3.720","3.960","3.700","4.92M","3.55%"
"04/03/2024","3.660","3.520","3.660","3.450","3.15M","2.81%"
"04/02/2024","3.560","3.520","3.575","3.470","5.69M","-2.20%"
"04/01/2024","3.640","3.610","3.650","3.495","5.55M","1.11%"
"03/28/2024","3.600","3.470","3.670","3.470","4.36M","3.75%"
"03/27/2024","3.470","3.340","3.510","3.310","5.05M","5.47%"
"03/26/2024","3.290","3.310","3.360","3.270","4.26M","0.61%"
"03/25/2024","3.270","3.390","3.410","3.200","3.52M","-2.68%"
"03/22/2024","3.360","3.530","3.605","3.350","5.61M","-5.08%"
"03/21/2024","3.540","3.280","3.675","3.280","8.49M","7.93%"
"03/20/2024","3.280","2.980","3.280","2.950","6.04M","10.44%"
"03/19/2024","2.970","2.970","3.030","2.910","10.14M","-2.94%"
"03/18/2024","3.060","2.960","3.120","2.900","12.20M","4.44%"
"03/15/2024","2.930","3.350","3.510","2.890","19.43M","-14.33%"
"03/14/2024","3.420","3.620","3.630","3.380","4.24M","-6.30%"
"03/13/2024","3.650","3.550","3.755","3.530","4.55M","2.24%"
"03/12/2024","3.570","3.610","3.660","3.510","3.31M","-1.92%"
"03/11/2024","3.640","3.730","3.740","3.620","4.04M","-2.67%"
"03/08/2024","3.740","3.810","3.910","3.730","3.80M","0.00%"
"03/07/2024","3.740","3.810","3.870","3.710","3.27M","-0.53%"
"03/06/2024","3.760","3.740","3.840","3.675","3.95M","2.73%"
"03/05/2024","3.660","3.660","3.710","3.585","3.53M","-1.35%"
"03/04/2024","3.710","3.880","3.935","3.710","3.20M","-3.64%"
"03/01/2024","3.850","3.950","3.970","3.715","3.77M","-2.53%"
"02/29/2024","3.950","3.870","4.018","3.840","7.73M","3.13%"
"02/28/2024","3.830","3.490","3.965","3.470","7.81M","11.99%"
"02/27/2024","3.420","3.370","3.490","3.330","7.43M","3.01%"
"02/26/2024","3.320","3.330","3.370","3.220","5.23M","-0.30%"
"02/23/2024","3.330","3.350","3.460","3.300","11.44M","-2.06%"
"02/22/2024","3.400","3.490","3.565","3.380","3.91M","-2.58%"
"02/21/2024","3.490","3.500","3.620","3.400","7.33M","-4.38%"
"02/20/2024","3.650","3.640","3.660","3.590","3.12M","-2.41%"
"02/16/2024","3.740","3.790","3.845","3.690","3.69M","-4.35%"
"02/15/2024","3.910","3.850","3.922","3.755","2.70M","2.89%"
"02/14/2024","3.800","3.710","3.810","3.660","4.48M","4.97%"
"02/13/2024","3.620","3.590","3.765","3.470","4.83M","-6.22%"
"02/12/2024","3.860","3.850","3.975","3.830","3.30M","1.05%"
"02/09/2024","3.820","3.770","3.890","3.740","3.20M","1.60%"
"02/08/2024","3.760","3.700","3.800","3.680","2.50M","2.17%"
"02/07/2024","3.680","3.700","3.760","3.565","3.16M","-0.27%"
"02/06/2024","3.690","3.570","3.700","3.560","2.92M","3.36%"
"02/05/2024","3.570","3.550","3.620","3.420","3.37M","-2.19%"
"02/02/2024","3.650","3.550","3.720","3.495","4.64M","-0.54%"
"02/01/2024","3.670","3.480","3.705","3.475","4.13M","6.69%"
"01/31/2024","3.440","3.500","3.850","3.430","6.33M","-3.10%"
"01/30/2024","3.550","3.740","3.740","3.530","3.32M","-6.33%"
"01/29/2024","3.790","3.580","3.845","3.555","4.80M","5.28%"
"01/26/2024","3.600","3.610","3.740","3.590","3.09M","0.00%"
"01/25/2024","3.600","3.490","3.610","3.455","2.94M","6.82%"
"01/24/2024","3.370","3.540","3.595","3.370","3.32M","-2.03%"
"01/23/2024","3.440","3.550","3.610","3.410","4.94M","-1.99%"
"01/22/2024","3.510","3.330","3.560","3.320","4.64M","8.00%"
"01/19/2024","3.250","3.100","3.290","3.025","4.94M","5.18%"
"01/18/2024","3.090","3.130","3.210","3.030","2.64M","-0.32%"
"01/17/2024","3.100","3.100","3.140","2.920","5.40M","-3.73%"
"01/16/2024","3.220","3.350","3.350","3.190","3.22M","-5.29%"
"01/12/2024","3.400","3.520","3.579","3.390","3.02M","-2.02%"
"01/11/2024","3.470","3.660","3.730","3.320","4.06M","-5.96%"
"01/10/2024","3.690","3.740","3.830","3.580","6.40M","-2.64%"
"01/09/2024","3.790","3.750","3.950","3.700","4.88M","-0.52%"
"01/08/2024","3.810","3.420","3.870","3.410","4.40M","11.73%"
"01/05/2024","3.410","3.410","3.540","3.350","5.00M","-1.73%"
"01/04/2024","3.470","3.460","3.560","3.315","3.95M","4.52%"
"01/03/2024","3.320","3.430","3.430","3.240","5.45M","-6.21%"
"01/02/2024","3.540","3.600","3.639","3.420","5.56M","-5.85%"
"12/29/2023","3.760","3.890","3.960","3.690","4.43M","-2.59%"
"12/28/2023","3.860","3.940","3.990","3.780","4.48M","-3.02%"
"12/27/2023","3.980","3.680","3.980","3.665","6.55M","8.45%"
"12/26/2023","3.670","3.540","3.680","3.509","3.41M","5.16%"
"12/22/2023","3.490","3.260","3.630","3.220","7.54M","8.39%"
"12/21/2023","3.220","3.230","3.320","3.070","4.83M","4.55%"
"12/20/2023","3.080","3.080","3.540","3.020","16.66M","1.32%"
"12/19/2023","3.040","2.930","3.078","2.920","4.35M","5.56%"
"12/18/2023","2.880","2.840","2.920","2.780","5.91M","0.00%"
"12/15/2023","2.880","3.000","3.025","2.850","8.76M","-3.68%"
"12/14/2023","2.990","2.980","3.150","2.915","11.65M","5.28%"
"12/13/2023","2.840","2.670","2.930","2.570","9.55M","5.58%"
"12/12/2023","2.690","2.730","2.770","2.590","4.74M","-2.18%"
"12/11/2023","2.750","2.780","2.850","2.671","2.19M","-1.79%"
"12/08/2023","2.800","2.700","2.820","2.660","2.29M","2.56%"
"12/07/2023","2.730","2.650","2.755","2.600","2.45M","2.63%"
"12/06/2023","2.660","2.590","2.810","2.560","3.84M","3.91%"
"12/05/2023","2.560","2.470","2.585","2.420","3.12M","1.19%"
"12/04/2023","2.530","2.420","2.585","2.420","2.96M","4.12%"
"12/01/2023","2.430","2.190","2.490","2.152","3.78M","9.46%"
"11/30/2023","2.220","2.280","2.305","2.140","4.43M","-2.20%"
"11/29/2023","2.270","2.280","2.465","2.240","2.34M","1.34%"
"11/28/2023","2.240","2.130","2.260","2.090","3.94M","4.19%"
"11/27/2023","2.150","2.100","2.170","2.080","2.05M","1.90%"
"11/24/2023","2.110","2.120","2.200","2.100","1.61M","0.00%"
"11/22/2023","2.110","2.050","2.130","2.040","2.89M","4.98%"
"11/21/2023","2.010","2.100","2.115","1.990","2.85M","-7.80%"
"11/20/2023","2.180","2.370","2.390","2.170","3.08M","-8.02%"
"11/17/2023","2.370","2.380","2.400","2.295","2.10M","0.42%"
"11/16/2023","2.360","2.440","2.480","2.300","3.11M","-4.07%"
"11/15/2023","2.460","2.300","2.530","2.300","6.18M","7.42%"
"11/14/2023","2.290","2.140","2.290","2.120","4.52M","17.44%"
"11/13/2023","1.950","1.950","1.970","1.880","2.04M","-0.51%"
"11/10/2023","1.960","1.910","1.990","1.890","2.28M","3.70%"
"11/09/2023","1.890","2.030","2.080","1.880","3.09M","-7.80%"
"11/08/2023","2.050","2.090","2.110","2.000","2.72M","-0.97%"
"11/07/2023","2.070","2.060","2.230","2.060","5.55M","-2.36%"
"11/06/2023","2.120","2.250","2.260","2.020","4.82M","-3.20%"
"11/03/2023","2.190","2.080","2.290","2.055","8.61M","11.73%"
"11/02/2023","1.960","1.990","2.080","1.940","7.49M","3.16%"
"11/01/2023","1.900","1.990","2.050","1.815","7.45M","-4.04%"
"10/31/2023","1.980","2.100","2.150","1.902","5.54M","-6.16%"
"10/30/2023","2.110","2.070","2.120","2.020","2.42M","3.43%"
"10/27/2023","2.040","2.080","2.100","2.020","3.02M","0.00%"
"10/26/2023","2.040","2.040","2.130","2.000","4.26M","-0.49%"
"10/25/2023","2.050","2.120","2.130","1.995","3.38M","-5.53%"
"10/24/2023","2.170","2.130","2.230","2.090","2.27M","3.83%"
"10/23/2023","2.090","2.020","2.130","1.945","2.79M","1.46%"
"10/20/2023","2.060","2.080","2.110","2.000","2.33M","-1.44%"
"10/19/2023","2.090","2.140","2.210","2.090","1.84M","-2.34%"
"10/18/2023","2.140","2.220","2.220","2.110","1.76M","-4.46%"
"10/17/2023","2.240","2.180","2.290","2.170","2.25M","2.75%"
"10/16/2023","2.180","2.200","2.265","2.145","3.02M","-0.46%"
"10/13/2023","2.190","2.280","2.284","2.150","2.16M","-3.52%"
"10/12/2023","2.270","2.450","2.450","2.260","2.56M","-6.58%"
"10/11/2023","2.430","2.480","2.550","2.420","1.73M","-0.82%"
"10/10/2023","2.450","2.390","2.570","2.390","2.17M","2.51%"
"10/09/2023","2.390","2.420","2.460","2.320","2.44M","-2.85%"
"10/06/2023","2.460","2.530","2.550","2.440","2.77M","-2.77%"
"10/05/2023","2.530","2.500","2.595","2.450","3.34M","0.80%"
"10/04/2023","2.510","2.650","2.710","2.440","10.87M","-3.46%"
"10/03/2023","2.600","2.760","2.790","2.590","3.95M","-7.14%"
"10/02/2023","2.800","2.870","2.905","2.790","1.89M","-3.45%"
"09/29/2023","2.900","3.070","3.172","2.840","3.60M","-4.92%"
"09/28/2023","3.050","2.920","3.070","2.900","2.00M","4.10%"
"09/27/2023","2.930","2.840","2.980","2.840","2.02M","2.45%"
"09/26/2023","2.860","2.950","3.050","2.850","2.56M","-5.92%"
"09/25/2023","3.040","3.010","3.085","2.950","2.30M","-0.98%"
"09/22/2023","3.070","3.010","3.150","2.985","2.07M","5.14%"
"09/21/2023","2.920","3.110","3.137","2.895","2.97M","-9.32%"
"09/20/2023","3.220","3.230","3.440","3.180","3.31M","1.26%"
"09/19/2023","3.180","3.230","3.230","3.050","2.78M","-2.15%"
"09/18/2023","3.250","3.200","3.330","3.100","1.88M","0.93%"
"09/15/2023","3.220","3.250","3.250","3.030","8.65M","1.26%"
"09/14/2023","3.180","3.300","3.345","3.151","2.81M","-1.85%"
"09/13/2023","3.240","3.360","3.430","3.220","2.70M","-3.28%"
"09/12/2023","3.350","3.290","3.400","3.270","2.21M","2.13%"
"09/11/2023","3.280","3.400","3.430","3.270","2.40M","-1.80%"
"09/08/2023","3.340","3.340","3.450","3.310","1.75M","-0.89%"
